repository,repo_url,commit_hash,author,date,message,green_aware,patterns_matched,pattern_count,confidence,files_modified,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_nloc,total_complexity,methods_count,energy_joules
LineageOS/android,https://github.com/LineageOS/android,aad7592bf743d6144dbd597dfd0e45e87a6ee282,Michael Bestas,2019-10-25T20:11:55+03:00,"manifest: Move from android-10.0.0_r11 to android-10.0.0_r18

Change-Id: I285f58201a2973024eb5fb89a7",False,,0,low,3,59,48,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,d7f59b1e4fccad54c6eee73b3a1109fd7334a11a,Michael Bestas,2020-01-08T00:51:30+02:00,"manifest: Move from android-10.0.0_r18 to android-10.0.0_r23

Change-Id: I6361e7d181df10a073a88f439e",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,11bf1371badf43e83199c01659242a638504dd7f,Michael Bestas,2019-10-09T21:30:56+03:00,"lineage: Reenable Profiles

Change-Id: I42123416b90c8d10ce294cc9f6eaae5335143823",True,Performance Profiling,1,medium,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,0e7b6fb097f7faff464a1b3e1914d69a5dadd8ab,Michael Bestas,2020-01-20T16:14:26+02:00,"manifest: Switch to our system/hardware/interfaces fork

Change-Id: Ic242ec8a1752f16b93172aeede852a3",False,Use Energy Efficient Hardware,1,medium,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,48cd51e7592adbebb4dc263963f756de1e7b6d84,Nolen Johnson,2020-01-21T17:02:23+00:00,"lineage: Track our system/sepolicy

Change-Id: Ib37aa1f6f02aba4e5ceafa0941923b85ee916f76",False,Set Retention Policy on Storage,1,medium,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,9bd031c7c1554966658a0c2f985d5773ea16f284,Han Wang,2019-10-06T06:19:28+02:00,"lineage: Sync devicesettings/flipflap globally

 * Widely used by many devices and are rather small.",False,Minimize Deployed Environments,1,medium,1,2,0,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,fb532721d0820ab2443b0607a74ef79bd646d3b5,Chirayu Desai,2019-09-20T04:44:12+05:18,"Sync SetupWizard

Change-Id: I585168f56a4a962c87215fc42c2abd001132b9ff",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,9eacca91556a4c1caa91b6e9ef3b3012e1858486,Luca Stefani,2020-02-03T20:37:06+01:00,"manifest: Move from android-10.0.0_r23 to android-10.0.0_r27

Change-Id: Ic0fc8124e6e5c69898616c42c3",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,052e544fdae7400ebf31da03d48a12bdbcf99c6b,Arian,2020-02-07T20:19:59+01:00,"manifest: Track own external/toybox

Change-Id: Idf807d475ebd59bb5bdac61223b67378eded4981",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,38ad30dd43bfdd692229025e3485e4d18b5c7886,Michael Bestas,2020-02-02T21:51:54+02:00,"lineage: Readd Backgrounds

Change-Id: Ieceb6341fea19260ffde7b3b085fd2ed639ace07",True,Queue Non-Urgent Requests,1,medium,1,1,0,,,,0,0,0,
